taxonID	identifier	bibliographicCitation
alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	Bank & Menkhorst (2008)	Bank, R.A. & Menkhorst, H.P.M.G. 2008. Notes on the nomenclature of some land- and freshwater molluscs of the Seychelles, with consequences for taxa from Africa, Madagascar, India, the Philippines, Jamaica, and Europe. – Basteria 72: 93-110.
alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	Keppens & Dhondt (2007)	Keppens, M. & Dhondt, K. 2007. De malacofauna van de tropische Victoriakas van de plantentuin van de universiteit Gent (België). – Gloria Maris 46: 29-40.
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	De Wilde et al. (1986b)	De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986b. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp.
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	Kappes (2019) in press	Kappes, H. 2019. Kenntnisstand zu der Etablierung von Ambigolimax valentianus (Férussac, 1822). - Mitteilungen der Deutschen Malakozoologischen Gesellschaft, in press
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	Van Goethem (1976)	Van Goethem, J.L. 1976. Contribution à l'étude de Lehmannia valentiana (de Férussac, 1821) (Mollusca, Pulmonata, Limacidae). – Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie, 51(5): 1-14.
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	Balashov (2018)	Balashov, I. 2018. Case 3685 – Arion vulgaris Moquin-Tandon, 1855 (Gastropoda, Stylommatophora, Arionidae): proposed validation of the specific name as available. – The Bulletin of Zoological Nomenclature 75: 12-15.
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	DAISIE (2009)	DAISIE 2009. Handbook of alien species in Europe. Springer.
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	Moens (1981)	Moens, R. 1981. Le problème des limaces dans la protection des végétaux. – Agricontact 117: 1-6.
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	Pfenninger et al. (2014)	Pfenninger, M., Weigand, A., Balint, M. & Klussmann-Kolb, A. 2014. Misperceived invasion: the Lusitanian slug (Arion lusitanicus auct. non-Mabille or Arion vulgaris Moquin-Tandon 1855) is native to Central Europe. – Evolutionary Applications 7: 702-713.
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	Risch & Backeljau (1989)	Risch, P. & Backeljau, T. 1989. On the occurrence of Arion lusitanicus Mabille, 1868 in Belgium (Mollusca: Pulmonata). – Annales de la Société Royale Zoologique de Belgique 118: 25-38.
