taxonID hash,scientific name,common name,dutch name,french name,german name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,[OLD] degree of establishment [WILL BE DELETED],degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
81d4efabef9ab3e384dfe016ee69d01f,"Allopeas clavulinum (Potiez & Michaud, 1835)",Spike awlsnail,,,,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Allopeas H. B. Baker, 1935",species,ICZN,Belgium,BE,present,introduced,B2,cultivated,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,2003,,,,eastern Africa,TRUE,FALSE,FALSE,,,,,,
7ecbd23986aa59aefd50154ef9f4fd1e,"Ambigolimax valentianus (A. Férussac, 1822)",Iberian threeband slug | greenhouse slug | threeband garden slug | Valencia slug | Spanish slug,Spaanse aardslak,Limace d'Espagne,Gewächshausschnegel,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Limacidae Lamarck, 1801","Ambigolimax Pollonera, 1887",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material | Unaided,contaminantOnPlants,transportationHabitatMaterial,naturalDispersal,,1946,,,,Iberian Peninsula,TRUE,FALSE,FALSE,,,,,,
a4f4c57a54f834761b99b164aeb118b8,"Arion vulgaris Moquin-Tandon, 1855",Lusitanian slug | Iberian slug | Spanish slug,Spaanse wegslak,Loche méridionale | Limace ibérique,Spanische Wegschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material | Unaided,contaminantOnPlants,transportationHabitatMaterial,naturalDispersal,,1981,,,,unclear,TRUE,FALSE,FALSE,,,,,,
d35bb708ec0c0b005948aff00d416a30,"Boettgerilla pallens Simroth, 1912",Worm slug,(Gewone) Wormnaaktslak,Limace du Caucase | Limace vermiforme,Wurmschnecke | Wurmschnegel | Wurmnacktschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Boettgerillidae Wiktor & I.M. Likharev, 1979","Boettgerilla Simroth, 1910",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material | Unaided,contaminantOnPlants,transportationHabitatMaterial,naturalDispersal,,1967,,,,Caucasus region,TRUE,FALSE,FALSE,,,,,,
2adf2a5200ff7ef289de75605a0ccdf1,"Candidula intersecta (Poiret, 1801)",Wrinkled snail,Grofgeribde grasslak,Hélicette carénée | Candidule bigarrée,Gefleckte Heideschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Candidula Kobelt, 1871",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Stowaway: People and their luggage | Stowaway: Vehicles | Unaided,people,vehicles,naturalDispersal,,1922,,,,southwestern France | Iberian Peninsula,TRUE,FALSE,FALSE,,,,,,
2f422cf7ad1c9cb089045dabca55c28c,"Cernuella aginnica (Locard, 1882)",,Franse duinslak,Caragouille semblable,,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cernuella Schlüter, 1838",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Stowaway: People and their luggage | Stowaway: Vehicles,people,vehicles,,,1944,,,,southern France,TRUE,FALSE,FALSE,,,,,,
c5ebd7e74169e1df778d09719475277f,"Cernuella cisalpina (Rossmässler, 1837)",,Griekse duinslak,Caragouille cisalpine,Ödland-Heideschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cernuella Schlüter, 1838",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Stowaway: People and their luggage | Stowaway: Vehicles,people,vehicles,,,1937,,,,Italy | coastal areas of the western Balkan,TRUE,FALSE,FALSE,,,,,,
0ab6daf4ae91b34b92171a41587f0fa7,"Cernuella neglecta (Draparnaud, 1805)",Dune snail,Afgevlakte duinslak,Caragouille élargie,Rotmündige Heideschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cernuella Schlüter, 1838",species,ICZN,Belgium,BE,present,introduced,D2,invasive,Stowaway: People and their luggage | Stowaway: Vehicles,people,vehicles,,,1972,,,,southern France | western Italy | central Italy,TRUE,FALSE,FALSE,,,,,,
02eac5f78d2af0f96a73471ee72461ec,"Cernuella virgata (Da Costa, 1778)",Banded snail | Striped snail | Zoned snail | Maritime gardensnail,Bolle duinslak,Caragouille globuleuse,Mittelmeer-Heideschnecke | Sandheideschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cernuella Schlüter, 1838",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Stowaway: People and their luggage | Stowaway: Vehicles | Release: Other intentional use | Unaided,people,vehicles,otherIntentionalRelease,naturalDispersal,1867,,,,western Mediterranean coastal areas | central Mediterranean coastal areas,TRUE,FALSE,FALSE,,,,,,
31bfed6d48cc5308c53149150572d92f,"Cochlicella acuta (O.F. Müller, 1774)",Pointed snail,Slanke duinhoren,Cornet étroit,Schlanke Spitzschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cochlicella A. Férussac, 1821",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Stowaway: People and their luggage | Stowaway: Vehicles | Release: Other intentional use | Unaided,people,vehicles,otherIntentionalRelease,naturalDispersal,1828,,,,circum-Mediterranean,TRUE,FALSE,FALSE,,,,,,
701157f0c3a45dbe4d3d191963c7cf23,"Cochlicella barbara (Linnaeus, 1758)",Potbellied helicellid,Bolle duinhoren,Cornet méditerranéen,Mittlere Spitzschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cochlicella A. Férussac, 1821",species,ICZN,Belgium,BE,present,introduced,C3,established,Stowaway: People and their luggage | Stowaway: Vehicles,people,vehicles,,,1946,,,,northern coastal areas of the western Mediterranean,TRUE,FALSE,FALSE,,,,,,
353c0266dc7029202c18efb638310977,"Cochlostoma septemspirale (Razoumowsky, 1789)",,,Cochlostome commun,Kleine Walddeckelschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Architaenioglossa Haller, 1890","Megalostomatidae W.T. Blanford, 1864","Cochlostoma Jan, 1830",species,ICZN,Belgium,BE,doubtful,introduced,C0,failing,,,,,,1929,1929,,,southwestern Germany | southeastern France | Switzerland | Austria | northern Italy | western Balkan,TRUE,FALSE,FALSE,,,,,,
cb51ce8d7440a98fd5847634375aac26,"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",Tramp slug | longneck field slug | brown field slug | Caruana's slug | Sicilian slug,Zuidelijke akkerslak,Loche maltaise,Mittelmeer-Ackerschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Agriolimacidae H. Wagner, 1935","Deroceras Rafinesque, 1820",species,ICZN,Belgium,BE,present,introduced,E,widespreadInvasive,Contaminant: Contaminant on plants | Contaminant: Transportation of habitat material,contaminantOnPlants,transportationHabitatMaterial,,,1968,,,,tropical western Africa,TRUE,FALSE,FALSE,,,,,,
990a911308ec72c8725e3c3d76486de2,"Ferussacia folliculum (Schröter, 1784)",,,Brillante méditerranéenne,Hülsenschnecke,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Ferussaciidae Bourguignat, 1883","Ferussacia Risso, 1826",species,ICZN,Belgium,BE,doubtful,introduced,C0,failing,Contaminant: Contaminant on plants | Stowaway,contaminantOnPlants,otherTransport,,,1866,2015,,,western Mediterranean region,TRUE,FALSE,FALSE,,,,,,
