scientific_name,native_range_text,introduction_pathway_text,degree_of_establishment_text,native_range,introduction_pathway,degree_of_establishment,source_description
"Allopeas clavulinum (Potiez & Michaud, 1835)",eastern Africa,Probably introduced unintentionally with foreign plant materials,The extent by which the species is established in Belgian greenhouses and nurseries needs to be investigated. Category B2.,eastern Africa,stowaway,B2,
"Ambigolimax valentianus (A. Férussac, 1822)",Iberian Peninsula,Probably introduced unintentionally with foreign plant material.,Fully invasive species; category E.,Iberian Peninsula,stowaway,E,
"Arion vulgaris Moquin-Tandon, 1855","unclear. Formerly believed to be native in SW Europe and the Iberian Peninsula. Yet, the Arion lusitanicus Mabille, 1868 from Portugal is a different, locally endemic species. Moreover, there still is discussion as to whether or not the species is truly invading central Europe, for Pfenninger et al. (2014) have suggested that the species is native in central Europe and hence that it is not an alien invader there. Yet, Zemanova et al. (2016) questioned this suggestion and maintained that the species is invading central Europe.
For Belgium there is little doubt that Arion vulgaris is an alien invader, since the extensive collections of Arion rufus in the RBINS that were made during surveys in the 20th century (going back to 1917) show that Arion vulgaris only starts to pop up among samples collected after 1970, and becomes more and more common towards the end of the 20th century.","Probably introduced both by natural dispersal and spreading by human activities, including transport of plants, construction materials, tourism (e.g. camping equipment), etc.",Fully invasive species. The species is considered to be one of the 100 most invasive species in Europe (DAISIE 2009); category E.,unclear,"unaided, stowaway",E,
"Boettgerilla pallens Simroth, 1912",Assumed to be native in the Caucasus region.,Probably introduced unintentionally with foreign plant material.,Fully invasive species; category E.,Caucasus region,stowaway,E,"Pfenninger et al. 2014, Zemanova et al. 2016, DAISIE 2009"
"Candidula intersecta (Poiret, 1801)",Probably southwestern France and the western part of the Iberian Peninsula.,The species may have been unintentionally introduced in the coastal areas by military transports and activities during the World Wars (Adam 1947a; Vercoutere 2002). In the second half of the 20th century the species might also have been unintentionally introduced by attachment on tourist camping material. In the Antwerpen region its introduction is probably due to trade and construction activities.,Fully invasive species; category E.,"southwestern France, Iberian Peninsula",stowaway,E,
"Cernuella aginnica (Locard, 1882)",southern France.,"Probably accidentally introduced, possibly by military activities.",Fully invasive species; category E.,southern France,stowaway,E,"Adam 1947a, Vercoutere 2002"
"Cernuella cisalpina (Rossmässler, 1837)",Italy and the coastal areas of the western Balkan.,"Given the expansion of the species after the Second World War, it seems as if it was spread by military activities.",Fully invasive species; category unclear D2 or E.,"Italy, coastal areas of the western Balkan",stowaway,"D2, E",
"Cernuella neglecta (Draparnaud, 1805)","southern France, western and central Italy.",Probably unintentionally introduced by human transport.,"Fully invasive species; category unclear, C3, D1 or D2.","southern France, western Italy, central Italy",stowaway,"C3, D1, D2",
"Cernuella virgata (Da Costa, 1778)",western and central Mediterranean coastal areas,The species may have been intentionally introduced in some places. Introduction via camping tourism is also possible. Adam (1947b) suspects that natural dispersal from northern France is likely.,Fully invasive species; category E,"western Mediterranean coastal areas, central Mediterranean coastal areas","dispersal, release, stowaway",E,
"Cochlicella acuta (O.F. Müller, 1774)",circum-Mediterranean.,It appears that the species may have reached Belgium by deliberate human-mediated introductions and accidental railway transport. Probably also accidental introductions by tourist activities may be possible. Spreading may occur by wind as specimens have observed rolling over the street paving at high windspeeds (De Smet & Van Rompu 1989).,Fully invasive species; category E.,circum-Mediterranean,"dispersal, release, stowaway",E,Adam 1947b
"Cochlicella barbara (Linnaeus, 1758)",northern coastal areas of the western Mediterranean.,The specimens collected in 1946 at De Panne were supposed to have been introduced with military activities (Adam 1947). The specimens collected in 1987 at the “Dievegatkreek” (Knokke-Het Zoute) were probably introduced by camping tourism (Dumoulin 1988).,"Introduced species, but it remains to be decided whether it forms stable, reproducing populations beyond the “Dievegatkreek” at Knokke-Het Zoute; category unclear C1 to C3.",northern coastal areas of the western Mediterranean,stowaway,C1 - C3,De Smet & Van Rompu 1989
"Cochlostoma septemspirale (Razoumowsky, 1789)","Widely distributed: southwestern germany, southeastern France, Switzerland, Austria, northern Italy and western Balkan.",unclear,A single accidental introduction; category C0.,"southwestern germany, southeastern France, Switzerland, Austria, northern Italy, western Balkan",,C0,"Adam 1947, Dumoulin 1988"
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011","unclear, but maybe Italy (Hutchinson et al. 2014).",Probably introduced unintentionally with foreign plant material.,Fully invasive species; category E.,unclear,stowaway,E,
"Ferussacia folliculum (Schröter, 1784)",western Mediterranean region.,Probably accidentally imported with plants or construction materials.,Single accidental or deliberate introductions; category C0.,western Mediterranean region,stowaway,C0,Hutchinson et al. 2014
"Gittenbergia sororcula (Benoit, 1859)","southern Europe from the northern part of the Iberian Peninsula, over southern France, the Italian Peninsula and Sicily, western Balkan up to Greece and Crete.",Unintentionally introduced with foreign plant materials.,unclear to what extent the species is established in greenhouses and nurseries in Belgium; category B2.,"northern part of the Iberian Peninsula, southern France, Italian Peninsula, Sicily, western Balkan, Greece, Crete",stowaway,B2,
"Granaria frumentum (Draparnaud, 1801)","southeastern and central Europe, including the Balkan.",unclear (if it was ever introduced at all).,"A single, or a few, accidental introductions; category C0.","southeastern Europe, central Europe, Balkan",,C0,
"Hawaiia minuscula (Binney, 1841)",North America.,Probably introduced unintentionally with foreign plant materials.,The extent by which the species is established in Belgian greenhouses and nurseries needs to be investigated. Category B2.,North America,stowaway,B2,
"Hygromia cinctella (Draparnaud, 1801)","Ill-defined, but supposed to include southeastern France, Italy, Slovenia and northwestern Croatia.","The species may be unintentionally introduced by man via transport of plants (gardens) (passive dispersal) and construction materials. Yet, active (natural) dispersal along rivers has also been suggested.",Fully invasive species; category E.,"southeastern France, Italy, Slovenia, northwestern Croatia","stowaway, dispersal",E,
"Massylaea vermiculata (O.F. Müller, 1774)","circum-Mediterranean, though not indiginous in the southeastern Mediterranean region, where it has been introduced.","Most probably accidentally introduced with container traffic. Yet, the species has occasionally been introduced in Belgium for rearing purposes (e.g. Adrians 2000; Anonymous [citing Adrians] 2001; Mienis 2011).","Potentially invasive, but the population at Zeebrugge was intentionally eradicated, though apparently not completely as the species was recently re-observed in 2017-2018. Category C3.",circum-Mediterranean,stowaway,C3,
"Paralaoma servilis (Shuttleworth, 1852)","The species is often referred to as cosmopolitan, but its native range is most probably New Zealand and Australia, from where the species has been introduced elsewhere in the world.",The species may be unintentionally introduced by man via transport of plants (gardens) (passive dispersal).,Fully invasive species; category E.,"New Zealand, Australia",stowaway,E,"Adriaens 2000, Adriaens 2001, Mienis 2011"
"Subulina striatella (Rang, 1831)",tropical western Africa,Accidentally introduced with foreign plant materials.,It remains to be investigated to what extent the species is established as greenhouse inhabitant in Belgium. Category B2.,tropical western Africa,stowaway,B2,
"Tandonia budapestensis (Hazay, 1880)","Carpathians and southern Alps (Frömming 1955), southeastern Alps and northern Balkan (Fechter & Falkner 1990).",Probably introduced unintentionally with foreign plant material.,Fully invasive species; category E.,"Carpathians, southern Alps, southeastern Alps, northern Balkan",stowaway,E,
"Tandonia sowerbyi (A. Férussac, 1823)","unclear, maybe Balkan to Greece.",Unknown,unclear; maybe Category B3.,unclear,,B3,"Frömming 1955, Fechter & Falkner 1990"
"Testacella haliotidea Draparnaud, 1801","S Europe and W Mediterranean. According to Van Goethem (1987, 1988) and Rinaldi (2003) the species is probably authochtonous in Belgium. Yet, despite dedicated searches by J. Colbeau in the 19th century, W. Adam about halfway the 20th century (Adam 1947) and still more recent surveys (e.g. Marquet 1982) there is no convincing evidence of this.",Unintentionally introduced with foreign plant materials (Van Goethem 1988).,A few accidental introductions; category C0.,"southern Europe, western Mediterranean",stowaway,C0,
