scientific_name,synonym,X3,X4
"Allopeas clavulinum (Potiez & Michaud, 1835)","Allopeas clavulinus Potiez & Michaud, 1835",,
"Allopeas clavulinum (Potiez & Michaud, 1835)","Allopeas ?mauritianus L. Pfeiffer, 1852",,
"Allopeas clavulinum (Potiez & Michaud, 1835)",Lamellaxis clavulinus,,
"Ambigolimax valentianus (A. Férussac, 1822)","Ambigolimax poirieri J. Mabille, 1883",,
"Ambigolimax valentianus (A. Férussac, 1822)",Lehmannia valentiana,,
"Arion vulgaris Moquin-Tandon, 1855","Arion collominiato Torres Mínguez, 1925",,
"Arion vulgaris Moquin-Tandon, 1855","Arion fulvipes Torres Mínguez, 1925",,
"Arion vulgaris Moquin-Tandon, 1855","Arion limbata R.T. Lowe, 1855",,
"Arion vulgaris Moquin-Tandon, 1855","Arion lusitanicus auctorum, non Mabille, 1868",,
"Arion vulgaris Moquin-Tandon, 1855","Arion nigrachlamydae Torres Mínguez, 1925",,
"Arion vulgaris Moquin-Tandon, 1855","Arion nuriae Torres Mínguez, 1925",,
"Arion vulgaris Moquin-Tandon, 1855","Arion ruginosus Torres Mínguez, 1924",,
"Boettgerilla pallens Simroth, 1912","Boettgerilla vermiformis Wiktor, 1959",,
"Candidula intersecta (Poiret, 1801)","Candidula caperata Montagu, 1803",,
"Candidula intersecta (Poiret, 1801)","Candidula carcusiaca Mabille, 1881",,
"Candidula intersecta (Poiret, 1801)","Candidula deferiana Bourguignat, 1882",,
"Candidula intersecta (Poiret, 1801)","Candidula expedenta Locard, 1899",,
"Candidula intersecta (Poiret, 1801)","Candidula imula Locard, 1899",,
"Candidula intersecta (Poiret, 1801)","Candidula paladilhi Bourguignat, 1866",,
"Cernuella aginnica (Locard, 1882)","Cernuella augustiniana auct., non Bourguignat, 1880",,
"Cernuella aginnica (Locard, 1882)","Cernuella cespitum auct., non Draparnaud, 1801",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella aethalia Pollonera, 1905",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella arnusiaca Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella ?balteata Pollonera, 1892",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella brundsiana Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella castertana Bourguignat, 1887",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella circinnata Rossmässler, 1837",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella colosseana Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella comnena Retowski, 1889",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella dobrogica Grossu, 1983",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella etrusca Issel, 1866",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella fiesolensis Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella ?filograna Stabile, 1864",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella florentina Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella ?gradiscanensis Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella hoemastoma Bellini, 1915",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella ilvatica Pollonera, 1892",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella infans Westerlund, 1902",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella jonica Mousson, 1854",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella karagolia Westerlund, 1902",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella ?lesiniaca Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella liparotica Monterosato, 1892",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella maxima Bellini, 1915",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella mediolanensis Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella meridionalis Mousson, 1854",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella phari Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella praeclara Cafici, 1882",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella profuga Rossmässler, 1854",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella pugnax Westerlund, 1889",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella romana Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella sipylensis Germain, 1933",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella smyrnensis Retowski, 1889",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella ?spalatensis Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella submeridionalis Bourguignat, 1863",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella subprofuga Stabile, 1864",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella tellinii Pollonera, 1910",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella trimentina Pollonera, 1892",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella tringa Fagot, 1884",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella ?turbinata De Cristofori & Jan, 1832",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella turbinula Pollonera, 1905",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella turriculata Bellini, 1915",,
"Cernuella cisalpina (Rossmässler, 1837)","Cernuella tyrrena Pollonera, 1905",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella acrenoica Haas, 1936",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella ammonis Strobel, 1857",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella bononiensis De Stefani, 1883",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella discrepans Tiberi, 1878",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella ammonis var. major Kobelt, 1877",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella ?mendica Pollonera, 1892",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella nerusia Pollonera, 1892",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella samnitum Westerlund, 1889",,
"Cernuella neglecta (Draparnaud, 1805)","Cernuella ?trepidulina Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella aglaometa J. Mabille, 1882",,
"Cernuella virgata (Da Costa, 1778)","Cernuella alburni Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella alluvionum Servain, 1880;",,
"Cernuella virgata (Da Costa, 1778)","Cernuella amblia Westerlund, 1893",,
"Cernuella virgata (Da Costa, 1778)","Cernuella ?augustiniana Bourguignat, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella ?balteata Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella blasi Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella canariensis Mousson, 1872",,
"Cernuella virgata (Da Costa, 1778)","Cernuella canovasiana Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella castroiana Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella clitumni Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella coneri Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella dendrophila Mabille, 1883",,
